date,name,code,dailyCases,totCases,dailyDeaths,totDeaths,daily1Vac,daily2Vac,daily3Vac,tot1Vac,tot2Vac,tot3Vac
2021-12-28,United Kingdom,K02000001,129471,12338676,18,148021,,,,,,
2021-12-27,United Kingdom,K02000001,98515,12209991,143,148003,16357,18965,215703,51679435,47289628,32696064
2021-12-26,United Kingdom,K02000001,108893,12112845,3,147860,1935,2084,22983,51663078,47270663,32480361
2021-12-25,United Kingdom,K02000001,113628,12004920,0,147857,955,917,10479,51661143,47268579,32457378
2021-12-24,United Kingdom,K02000001,122186,11891292,137,147857,10492,13563,156412,51660188,47267662,32446899
2021-12-23,United Kingdom,K02000001,119789,11769921,147,147720,32605,44046,605561,51649696,47254099,32290487
2021-12-22,United Kingdom,K02000001,109655,11647473,140,147573,39309,53154,840038,51617091,47210053,31684926
2021-12-21,United Kingdom,K02000001,90629,11542143,172,147433,39955,54085,968665,51577782,47156899,30844888
2021-12-20,United Kingdom,K02000001,91743,11453121,44,147261,39793,50938,897979,51537827,47102814,29876223
2021-12-19,United Kingdom,K02000001,82886,11361387,45,147218,33151,39904,846466,51498034,47051876,28978244
2021-12-18,United Kingdom,K02000001,90418,11279428,125,147173,38329,45898,940606,51464883,47011972,28131778
2021-12-17,United Kingdom,K02000001,93045,11190354,111,147048,32890,42286,852521,51426554,46966074,27191172
2021-12-16,United Kingdom,K02000001,88376,11097851,146,146937,32677,42497,861306,51393664,46923788,26338651
2021-12-15,United Kingdom,K02000001,78610,11010286,165,146791,28067,38794,745183,51360987,46881291,25477345
2021-12-14,United Kingdom,K02000001,59610,10932545,150,146627,34082,37888,656711,51332920,46842497,24732162
2021-12-13,United Kingdom,K02000001,54661,10873468,38,146477,19671,29407,513722,51298838,46804609,24075451
2021-12-12,United Kingdom,K02000001,48854,10819515,52,146439,23317,30195,397532,51279167,46775202,23561729
2021-12-11,United Kingdom,K02000001,54073,10771444,132,146387,26291,38984,550253,51255850,46745007,23164197
2021-12-10,United Kingdom,K02000001,58194,10719165,120,146255,22063,31962,428961,51229559,46706023,22613944
2021-12-09,United Kingdom,K02000001,50867,10660981,148,146135,24039,33824,469479,51207496,46674061,22184983
2021-12-08,United Kingdom,K02000001,51342,10610958,161,145987,21700,29437,414645,51183457,46640237,21715504
2021-12-07,United Kingdom,K02000001,45691,10560341,180,145826,23512,28375,391050,51161757,46610800,21300859
2021-12-06,United Kingdom,K02000001,51459,10515239,41,145646,19979,25012,329165,51138245,46582425,20909809
2021-12-05,United Kingdom,K02000001,43992,10464389,54,145605,21955,27166,290165,51118266,46557413,20580644
2021-12-04,United Kingdom,K02000001,42848,10421104,127,145551,26914,37798,464616,51096311,46530247,20290479
